timestamp,benefits,employee_count,position,level,experience,lang_tool,salary_currency,salary,gender_Female,gender_Lgbt,gender_Male,gender_Unknownm,location_Abroad,location_Turkey,work_arrangement_Hybrid,work_arrangement_Office,work_arrangement_Remote
2023-01-31 21:37:56,"Meal card, Road/fuel assistance",1-50,1,2,9-12 Years,"Javascript / Typescript and  related frameworks, PHP, Cloud tools ( AWS, Azure, GCP etc), MS Office",TRY,16500.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:37:59,"Meal card, Road/fuel assistance, Supplementary health insurance, Leaandon certain days",51-150,1,2,5-9 Years,"Java and related frameworks, Javascript / Typescript and  related frameworks, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,41000.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:38:10,"Road/fuel assistance, Company vehicle, Supplementary health insurance",151-300,1,1,1-3 Years,"Java and related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL",TRY,41000.0,0,0,1,0,0,1,0,1,0
2023-01-31 21:38:48,Meal card,1.000-5.000,1,0,0-1 Years,Java and related frameworks,TRY,6754.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:39:34,Meal card,601-1.000,1,2,12 Years and Older,"C# / .NET Framework, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,50000.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:39:51,"Meal card, Road/fuel assistance, Supplementary health insurance, Leaandon certain days",51-150,1,1,1-3 Years,"Javascript / Typescript and  related frameworks, Golang, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:40:07,"Meal card, Road/fuel assistance",1.000-5.000,1,0,1-3 Years,"Java and related frameworks, Figma / XD and  other design tools, SQL, Kubernetes, MS Office",TRY,19000.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:41:52,"Meal card, Education funds, Supplementary health insurance, Life insurance",5.000-10.000,1,1,1-3 Years,"Java and related frameworks, Kotlin, Golang, DevOps tools, Kubernetes",TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:42:01,"Meal card, Supplementary health insurance",51-150,1,2,9-12 Years,"C# / .NET Framework, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:43:40,"Meal card, Road/fuel assistance",1-50,1,2,5-9 Years,"C# / .NET Framework, Javascript / Typescript and  related frameworks, SQL",TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:43:45,"Meal card, Road/fuel assistance, Supplementary health insurance",51-150,1,0,1-3 Years,"Java and related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,19000.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:48:21,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days, Life insurance",1.000-5.000,1,0,1-3 Years,"C# / .NET Framework, Java and related frameworks, Python / R, SQL",TRY,22500.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:48:59,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Supplementary health insurance",151-300,1,1,5-9 Years,Java and related frameworks,TRY,41000.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:49:42,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Employee stock options, Leaandon certain days, Medical leave",51-150,1,0,0-1 Years,"C# / .NET Framework, Python / R",TRY,19000.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:52:45,"Meal card, Gift vouchers on special occasions, Supplementary health insurance, Leaandon certain days, Life insurance, Retirement planning services",601-1.000,1,0,0-1 Years,"Java and related frameworks, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,27500.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:53:59,"Gift vouchers on special occasions, Medical leave",1-50,1,0,1-3 Years,"Javascript / Typescript and  related frameworks, PHP, SQL",TRY,16500.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:54:17,"Meal card, Supplementary health insurance",1-50,1,1,1-3 Years,"Golang, SQL",TRY,27500.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:54:41,"Meal card, Supplementary health insurance, Leaandon certain days",1.000-5.000,1,1,3-5 Years,Java and related frameworks,TRY,41000.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:56:04,"Meal card, Supplementary health insurance, Leaandon certain days",1-50,1,2,5-9 Years,"C# / .NET Framework, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,77500.0,0,0,1,0,0,1,0,1,0
2023-01-31 21:56:30,"Meal card, Supplementary health insurance, Retirement planning services",151-300,1,1,1-3 Years,"Java and related frameworks, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,33500.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:56:42,"Meal card, Supplementary health insurance",601-1.000,1,1,1-3 Years,C# / .NET Framework,TRY,27500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:01:02,"Meal card, Supplementary health insurance",1-50,1,1,5-9 Years,C# / .NET Framework,TRY,27500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:01:41,"Meal card, Road/fuel assistance, Supplementary health insurance, Life insurance",151-300,1,0,1-3 Years,C# / .NET Framework,TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:02:06,"Meal card, Education funds, Supplementary health insurance, Employee stock options",1-50,1,2,5-9 Years,Java and related frameworks,TRY,50000.0,0,0,1,0,1,0,0,0,1
2023-01-31 22:05:47,"Meal card, Supplementary health insurance",151-300,1,0,1-3 Years,Java and related frameworks,TRY,19000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:06:26,"Meal card, Education funds, Supplementary health insurance, Leaandon certain days",1-50,1,1,3-5 Years,"Python / R, Golang, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:07:07,"Meal card, Food aid, Supplementary health insurance, Life insurance, Retirement planning services",1.000-5.000,1,2,5-9 Years,Java and related frameworks,TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:07:21,"Meal card, Supplementary health insurance",151-300,1,1,1-3 Years,"PHP, SQL, NoSQL",TRY,27500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:07:39,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance",601-1.000,1,1,3-5 Years,Java and related frameworks,TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:08:01,"Meal card, Supplementary health insurance",51-150,1,2,5-9 Years,"C# / .NET Framework, Cloud tools ( AWS, Azure, GCP etc), DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,62500.0,0,0,1,0,1,0,0,0,1
2023-01-31 22:10:11,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Education funds, Supplementary health insurance, Life insurance",1.000-5.000,1,1,3-5 Years,"C# / .NET Framework, Java and related frameworks, Javascript / Typescript and  related frameworks, Kotlin, Figma / XD and  other design tools, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Kubernetes",TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:11:16,"Meal card, Road/fuel assistance, Company telephone, Supplementary health insurance, Employee stock options, Leaandon certain days",1-50,1,2,9-12 Years,"Java and related frameworks, Python / R, SQL, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,62500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:11:54,Unknown,1-50,1,2,3-5 Years,PHP,TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:18:53,Unknown,1-50,1,1,1-3 Years,"Javascript / Typescript and  related frameworks, Cloud tools ( AWS, Azure, GCP etc), NoSQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,22500.0,1,0,0,0,0,1,0,1,0
2023-01-31 22:19:59,"Meal card, Gift vouchers on special occasions, Supplementary health insurance",601-1.000,1,1,3-5 Years,"C# / .NET Framework, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman",TRY,22500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:20:25,"Education funds, Employee stock options, Leaandon certain days, Medical leave",51-150,1,0,1-3 Years,"Golang, Cloud tools ( AWS, Azure, GCP etc), SQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",USD,77500.0,0,0,0,1,1,0,0,0,1
2023-01-31 22:22:56,"Meal card, Supplementary health insurance, Life insurance",151-300,1,2,12 Years and Older,"PHP, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,50000.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:27:19,"Meal card, Road/fuel assistance, Supplementary health insurance",601-1.000,1,1,3-5 Years,"C# / .NET Framework, Javascript / Typescript and  related frameworks",TRY,41000.0,0,0,1,0,0,1,0,1,0
2023-01-31 22:27:47,"Road/fuel assistance, Gift vouchers on special occasions, Retirement planning services, Disability insurance",1.000-5.000,1,0,0-1 Years,"Kotlin, Cloud tools ( AWS, Azure, GCP etc), Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",EUR,50000.0,1,0,0,0,1,0,1,0,0
2023-01-31 22:28:12,"Meal card, Gift vouchers on special occasions, Supplementary health insurance, Leaandon certain days",51-150,1,0,0-1 Years,Python / R,TRY,22500.0,0,0,1,0,1,0,0,0,1
2023-01-31 22:29:43,"Meal card, Supplementary health insurance, Leaandon certain days",51-150,1,1,1-3 Years,"Javascript / Typescript and  related frameworks, SQL",TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:30:46,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance",1-50,1,2,5-9 Years,Java and related frameworks,TRY,50000.0,1,0,0,0,0,1,0,0,1
2023-01-31 22:31:21,"Meal card, Road/fuel assistance, Supplementary health insurance",601-1.000,1,0,1-3 Years,"Java and related frameworks, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:32:35,"Meal card, Supplementary health insurance, Life insurance",151-300,1,1,3-5 Years,C# / .NET Framework,USD,27500.0,0,0,1,0,1,0,0,0,1
2023-01-31 22:32:46,"Meal card, Supplementary health insurance",1-50,1,1,1-3 Years,PHP,TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:34:45,Supplementary health insurance,51-150,1,1,1-3 Years,"Javascript / Typescript and  related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL",USD,22500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:36:20,"Meal card, Supplementary health insurance, Leaandon certain days, Medical leave",151-300,1,1,1-3 Years,"C# / .NET Framework, SQL",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:37:01,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Leaandon certain days, Retirement planning services, Medical leave",10000 and Higher,1,0,0-1 Years,"C# / .NET Framework, Flutter, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, No-code / Low-code tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, MS Office",TRY,33500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:38:12,"Meal card, Life insurance",51-150,1,2,3-5 Years,Java and related frameworks,TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:39:53,"Meal card, Road/fuel assistance, Supplementary health insurance, Life insurance",1.000-5.000,1,1,5-9 Years,Java and related frameworks,TRY,41000.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:40:43,Unknown,1-50,1,0,0-1 Years,Python / R,TRY,6754.0,1,0,0,0,0,1,0,1,0
2023-01-31 22:43:26,"Meal card, Supplementary health insurance, Leaandon certain days",1.000-5.000,1,2,5-9 Years,"C# / .NET Framework, Golang, SQL, NoSQL, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:44:19,"Meal card, Education funds, Supplementary health insurance, Leaandon certain days, Retirement planning services, Workers compensation, Medical leave",601-1.000,1,0,0-1 Years,"Java and related frameworks, PHP, Python / R, Golang, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Linux, MS Office",TRY,22500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:44:37,"Meal card, Supplementary health insurance",1.000-5.000,1,0,1-3 Years,"Java and related frameworks, Kotlin, Golang",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:45:06,Unknown,1-50,1,2,12 Years and Older,"Java and related frameworks, NoSQL, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,62500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:48:58,"Education funds, Employee stock options",601-1.000,1,1,1-3 Years,"Javascript / Typescript and  related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL",EUR,62500.0,0,0,1,0,1,0,0,0,1
2023-01-31 22:50:06,"Meal card, Education funds, Supplementary health insurance",151-300,1,2,5-9 Years,C# / .NET Framework,TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:53:47,"Meal card, Supplementary health insurance",5.000-10.000,1,1,1-3 Years,Java and related frameworks,TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:54:19,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days",51-150,1,1,3-5 Years,"C# / .NET Framework, SQL",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-01-31 22:54:59,"Meal card, Road/fuel assistance",601-1.000,1,2,5-9 Years,"C# / .NET Framework, SQL",TRY,33500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:57:17,Road/fuel assistance,51-150,1,0,0-1 Years,Java and related frameworks,TRY,16500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:57:46,"Meal card, Road/fuel assistance, Gym membership/discount, Gift vouchers on special occasions, Company vehicle, Company telephone, Food aid, Education funds, Supplementary health insurance, Employee stock options, Leaandon certain days, Life insurance, Retirement planning services",5.000-10.000,1,0,1-3 Years,"C# / .NET Framework, SQL, MS Office",TRY,27500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:58:15,Unknown,1-50,1,2,9-12 Years,"C# / .NET Framework, SQL, MS Office",TRY,41000.0,0,0,1,0,0,1,0,1,0
2023-01-31 22:59:00,"Meal card, Supplementary health insurance",151-300,1,1,1-3 Years,"C# / .NET Framework, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,19000.0,1,0,0,0,0,1,0,0,1
2023-01-31 22:59:16,"Meal card, Supplementary health insurance, Life insurance",5.000-10.000,1,2,5-9 Years,Java and related frameworks,TRY,62500.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:59:57,"Meal card, Education funds, Life insurance",601-1.000,1,2,5-9 Years,"Java and related frameworks, Javascript / Typescript and  related frameworks, Kotlin, SQL",TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:01:09,"Meal card, Supplementary health insurance",5.000-10.000,1,1,1-3 Years,"Java and related frameworks, SQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:02:29,"Meal card, Road/fuel assistance, Supplementary health insurance",51-150,1,0,0-1 Years,Java and related frameworks,TRY,12500.0,0,0,1,0,0,1,0,1,0
2023-01-31 23:04:29,Meal card,1-50,1,1,1-3 Years,"Javascript / Typescript and  related frameworks, PHP",TRY,16500.0,0,0,1,0,0,1,1,0,0
2023-01-31 23:04:49,"Meal card, Road/fuel assistance, Company telephone, Education funds, Supplementary health insurance, Leaandon certain days",1-50,1,1,1-3 Years,"Java and related frameworks, Python / R, SQL, NoSQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,33500.0,1,0,0,0,0,1,0,0,1
2023-01-31 23:08:19,"Meal card, Road/fuel assistance, Supplementary health insurance",1-50,1,0,0-1 Years,"Javascript / Typescript and  related frameworks, PHP, SQL, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,19000.0,0,0,1,0,0,1,0,1,0
2023-01-31 23:10:13,"Meal card, Company telephone, Leaandon certain days",1-50,1,0,0-1 Years,"C# / .NET Framework, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,9254.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:11:37,"Meal card, Supplementary health insurance",1-50,1,0,1-3 Years,"Javascript / Typescript and  related frameworks, Golang",TRY,16500.0,0,0,0,1,0,1,1,0,0
2023-01-31 23:12:06,"Meal card, Gift vouchers on special occasions, Supplementary health insurance, Retirement planning services",151-300,1,0,0-1 Years,"Java and related frameworks, SQL, DevOps tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:13:31,"Road/fuel assistance, Education funds, Employee stock options",10000 and Higher,1,1,3-5 Years,C# / .NET Framework,EUR,77500.0,0,0,1,0,1,0,1,0,0
2023-01-31 23:15:12,"Meal card, Gift vouchers on special occasions, Supplementary health insurance, Employee stock options, Leaandon certain days",51-150,1,1,3-5 Years,"C# / .NET Framework, Javascript / Typescript and  related frameworks, Golang, SQL, NoSQL",TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:18:18,Meal card,1.000-5.000,1,1,1-3 Years,"Java and related frameworks, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:19:41,"Meal card, Supplementary health insurance, Leaandon certain days",1-50,1,0,0-1 Years,Javascript / Typescript and  related frameworks,TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:21:03,"Meal card, Road/fuel assistance, Supplementary health insurance",151-300,1,1,1-3 Years,PHP,TRY,41000.0,0,0,1,0,0,1,0,1,0
2023-01-31 23:26:10,Unknown,1-50,1,0,0-1 Years,PHP,TRY,12500.0,0,0,1,0,0,1,0,0,1
